log_id,timestamp,ip_address,http_method,endpoint,status_code,response_time_ms,user_agent
924b0432-82eb-4960-81f8-5aa97aeb381d,2026-04-07T02:19:05.870656,220.70.103.178,DELETE,list/search/posts,500,1465,Mozilla/5.0 (compatible; MSIE 5.0; Windows 98; Win 9x 4.90; Trident/3.0)
8afe2d31-cfe2-46a6-81f2-68d67fb79a31,2026-04-07T02:37:42.970992,51.95.240.41,POST,blog/posts,400,1062,Opera/8.33.(Windows NT 11.0; sr-RS) Presto/2.9.187 Version/11.00
eeac7645-04a0-4a6a-a32e-22848acf42e0,2026-04-04T00:50:58.482676,49.129.185.119,POST,category/category/categories,403,818,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_11_6; rv:1.9.2.20) Gecko/4588-04-02 16:05:12.912643 Firefox/10.0
e1de128c-3ca4-442c-bb23-620936fb1080,2026-04-04T04:39:00.757074,1.141.206.117,GET,categories,201,879,Opera/9.52.(Windows NT 6.2; et-EE) Presto/2.9.170 Version/11.00
fb2dea67-cec0-48ae-9d65-6c33edbbec62,2026-04-08T17:57:15.263426,91.152.153.137,DELETE,wp-content,404,814,Mozilla/5.0 (compatible; MSIE 9.0; Windows CE; Trident/3.0)
ee3468d1-752a-471d-9b17-946da1c389ac,2026-04-10T01:36:18.971721,164.199.109.119,DELETE,app,400,340,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_5_0; rv:1.9.4.20) Gecko/9627-06-17 11:16:12.208527 Firefox/11.0
17445de4-61bc-476f-acc1-d9c6f0dced71,2026-04-06T18:59:54.971290,171.143.170.209,PUT,tag,403,848,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; ayc-PE) AppleWebKit/534.46.1 (KHTML, like Gecko) Version/4.0.5 Mobile/8B118 Safari/6534.46.1"
ae088347-8671-4320-9c30-24299339a97e,2026-04-08T22:44:06.147075,146.134.24.2,POST,tag/search/list,200,1046,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.01; Trident/5.1)
12a39622-3c5b-4f86-bbe0-bdb7a55fb04c,2026-04-16T14:21:46.513081,210.109.0.232,POST,category/categories,201,168,Mozilla/5.0 (Android 10; Mobile; rv:7.0) Gecko/7.0 Firefox/7.0
e17f15f3-848a-4433-a3c5-618b8fc8c9bc,2026-04-07T21:54:37.640586,223.239.123.144,PUT,wp-content/search,201,1365,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; raj-IN) AppleWebKit/534.22.5 (KHTML, like Gecko) Version/4.0.5 Mobile/8B116 Safari/6534.22.5"
b5037d69-d733-4c05-ad09-929726edc62b,2026-04-06T02:26:32.312626,27.154.251.78,DELETE,categories/explore/wp-content,400,1280,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/38.0.899.0 Safari/531.1"
cee5264c-cfda-467c-b217-f3906056a124,2026-04-18T19:53:42.017025,36.89.79.133,PUT,app/posts/categories,201,1221,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.2; Trident/4.0)
5dae77e4-8c8e-4171-aad9-68a9a0cd85ec,2026-04-18T10:54:21.142744,16.94.202.215,DELETE,app/tag/tags,400,1907,"Mozilla/5.0 (Windows; U; Windows NT 6.1) AppleWebKit/534.42.3 (KHTML, like Gecko) Version/5.0.1 Safari/534.42.3"
86c2a1cd-5f8d-45cb-8a38-158c8596729c,2026-04-13T19:21:30.688785,76.49.117.21,DELETE,categories,403,501,Opera/8.95.(Windows 98; Win 9x 4.90; sk-SK) Presto/2.9.166 Version/12.00
ae763d5c-ca55-4a30-820d-c9c0b8d2e359,2026-04-15T03:28:15.552558,142.173.171.119,PUT,app/explore,404,852,Opera/9.81.(X11; Linux i686; sq-AL) Presto/2.9.163 Version/11.00
3841f8de-2267-4cb2-9036-abaac964f714,2026-04-04T00:10:08.870142,84.137.225.64,PUT,category/wp-content/search,404,1203,Opera/8.11.(Windows CE; kn-IN) Presto/2.9.174 Version/10.00
11c5f66c-13bc-43af-8ee5-c5b2cb169b14,2026-04-09T21:27:17.399139,161.58.144.170,POST,wp-content,500,49,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.2; Trident/4.0)
