log_id,timestamp,ip_address,http_method,endpoint,status_code,response_time_ms,user_agent
4275b740-a9dd-46d7-857a-d368495369bf,2026-04-07T18:36:05.156391,164.83.2.203,PUT,explore,403,487,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/22.0.876.0 Safari/535.2"
846b1967-6d18-42ae-8c1b-222ee1ac95c0,2026-04-12T22:09:25.886338,2.153.130.209,PUT,list/tags,401,574,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_4 like Mac OS X) AppleWebKit/532.0 (KHTML, like Gecko) CriOS/29.0.871.0 Mobile/37U503 Safari/532.0"
cbb86ad5-8fac-4437-b5f8-449430b910a7,2026-04-08T03:59:07.646667,39.254.167.140,GET,tags/blog,403,419,"Mozilla/5.0 (Windows; U; Windows 98) AppleWebKit/534.22.3 (KHTML, like Gecko) Version/4.0.4 Safari/534.22.3"
80c484b3-c1df-4aaa-a661-5790305ee42f,2026-04-16T22:06:01.078261,97.159.21.120,GET,posts/blog,201,1935,"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/532.13.3 (KHTML, like Gecko) Version/4.1 Safari/532.13.3"
8103c57c-d7be-4285-986f-cf21f36c12b9,2026-04-06T19:43:32.937412,47.21.181.36,DELETE,search/tag/categories,401,329,"Mozilla/5.0 (Linux; Android 4.4) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/21.0.882.0 Safari/534.0"
1246fedd-23a0-4506-951d-35be9fdd7dcf,2026-04-11T13:47:08.324849,32.159.88.199,GET,app,403,1007,"Mozilla/5.0 (Windows; U; Windows CE) AppleWebKit/531.43.4 (KHTML, like Gecko) Version/4.0.4 Safari/531.43.4"
ee41a9f5-18f6-4dd9-94bd-de4e3707fc36,2026-04-10T07:22:51.584743,185.2.151.116,DELETE,main/categories,404,547,Mozilla/5.0 (Windows NT 5.01; shs-CA; rv:1.9.1.20) Gecko/2014-09-05 09:46:19.810410 Firefox/3.8
54dcb077-fa72-420e-b1f6-c2de7207b17c,2026-04-12T03:03:06.620987,24.87.148.222,POST,search/search/list,403,1979,"Mozilla/5.0 (Linux; Android 5.1.1) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/31.0.860.0 Safari/534.0"
074ffa74-c473-4b1a-8cc5-e26ad62520cd,2026-04-04T08:34:34.665253,209.106.226.165,POST,categories/app,404,257,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/4.0)
04b74e6c-06a9-42a5-9856-efe85a04567a,2026-04-13T15:10:45.595933,104.24.68.211,POST,list/category,201,475,"Mozilla/5.0 (Windows CE) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/39.0.810.0 Safari/536.2"
19e4c266-4c31-4d4c-81c8-4eebcd1668c1,2026-04-07T02:01:05.725269,113.30.241.225,GET,tags/list/wp-content,201,1485,Mozilla/5.0 (Windows NT 10.0; raj-IN; rv:1.9.0.20) Gecko/4363-10-14 15:14:01.810837 Firefox/3.6.3
58c8456f-c7ad-4f17-b588-ad61106570a0,2026-04-16T10:04:54.497188,79.91.22.2,PUT,tags/explore/explore,500,1453,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/18.0.839.0 Safari/534.0"
a79eb3c2-3e57-4ca4-8e76-20d2a10e7a98,2026-04-06T16:55:25.202610,156.161.134.44,POST,tag/blog,201,122,Mozilla/5.0 (Windows 98; pa-IN; rv:1.9.1.20) Gecko/9345-03-17 10:46:36.279114 Firefox/3.6.3
c0ba64f4-7c8c-411a-b0dd-7e15653a1049,2026-04-10T20:31:00.112261,178.2.116.113,GET,category/category,201,1709,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.0; Trident/3.1)
c2a2250d-3762-4e06-b8cc-5c5b9da4faf5,2026-04-18T04:14:27.490174,110.126.212.139,DELETE,category,404,1871,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; wal-ET) AppleWebKit/534.32.6 (KHTML, like Gecko) Version/3.0.5 Mobile/8B115 Safari/6534.32.6"
