shipment_id,timestamp,origin,destination,weight_kg,delivery_status,vehicle_type,estimated_delay_minutes
86351be4-0c84-4324-9dd7-0fb63da75d3b,2026-05-01T05:38:17.058244,Campos,Fonseca Verde,24.02,IN_TRANSIT,VAN,54
78b12171-0718-4861-92b3-2b7e3d57a5ba,2026-05-01T09:47:41.667830,Barbosa,Sousa,36.59,IN_TRANSIT,VAN,26
da1e8ed3-d4b3-4a07-a32b-d57bd83f7ea2,2026-05-01T03:51:42.862147,Albuquerque,Machado do Norte,90.18,IN_TRANSIT,VAN,106
bdfa8d17-d2dd-4743-9155-307a12d1acb3,2026-05-01T11:32:17.225721,Cirino da Praia,Macedo,69.62,IN_TRANSIT,VAN,1
910825a2-87ee-48f0-bd47-e7959a7590d7,2026-05-01T07:51:50.806986,Castro,da Conceição das Pedras,2.69,IN_TRANSIT,VAN,3
abc57b8d-894f-4874-9ae5-0b13cf8bf385,2026-05-01T07:52:56.772790,Melo,Abreu,71.62,CANCELLED,MOTORCYCLE,66
6390742a-6271-4410-8c35-ea0917ad24b7,2026-05-01T00:43:15.447036,Guerra do Amparo,Cavalcante,43.76,DELAYED,TRUCK,24
a778af93-e60e-40d6-afa0-527241ef547b,2026-05-01T10:44:40.604599,Nunes,da Paz de Guerra,58.85,DELIVERED,VAN,108
662867ed-2efe-48bb-bd87-00431c340684,2026-05-01T01:58:54.366970,Fernandes do Norte,Teixeira,44.18,DELIVERED,TRUCK,117
6cca2c4c-bd8f-47a7-8a66-0b88d83516fd,2026-05-01T10:25:21.125301,Andrade do Oeste,Ramos,45.88,DELAYED,MOTORCYCLE,10
7541e382-0ad5-4792-a1e0-4f88c9218a02,2026-05-01T11:39:36.237202,Fonseca,Camargo,87.8,IN_TRANSIT,TRUCK,57
c1cba547-65ed-4ea4-a9e8-95a445d0ea87,2026-05-01T02:19:49.089524,Leão,Teixeira,5.5,DELIVERED,VAN,6
ec084ab4-ef1b-433b-b3d5-70c01eba11c6,2026-05-01T01:24:18.552012,Dias,Oliveira,33.56,DELIVERED,VAN,35
52f92b97-209e-44ea-a399-e7de7a754195,2026-05-01T05:32:47.118239,Duarte da Prata,Ferreira,88.49,DELAYED,TRUCK,109
3865866f-0dcb-4ecd-8547-bac75ee4eb9b,2026-05-01T00:05:31.356414,Garcia do Galho,Cardoso,90.84,DELIVERED,VAN,8
8ba51a53-de1b-4ce6-903b-2479c474732e,2026-05-01T00:34:42.431672,Lima,Silveira do Norte,43.18,DELAYED,TRUCK,27
4fc6a11c-d51d-42a4-a26f-042ecc7a6541,2026-05-01T00:28:15.460514,Rocha de Minas,Farias,22.6,CANCELLED,VAN,7
