log_id,timestamp,ip_address,http_method,endpoint,status_code,response_time_ms,user_agent
74efeb66-f8e7-450c-b3f6-2c49f7499c5f,2026-04-18T18:39:59.426033,167.121.56.199,POST,main/categories,201,498,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.2; Trident/5.1)
91e68da5-f5d1-4459-bf44-d9eee5772fe9,2026-04-01T07:29:22.463171,150.231.146.58,GET,category,403,332,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 11.0; Trident/4.0)
5f577cc7-f265-4270-bd01-a10d60069e1a,2026-04-17T04:35:19.511640,41.6.120.124,GET,main/tags/main,201,259,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_4 rv:2.0; vi-VN) AppleWebKit/531.40.2 (KHTML, like Gecko) Version/5.1 Safari/531.40.2"
873647bd-8cf9-4b0e-b6df-9fdf425624f7,2026-04-01T09:39:50.954208,115.70.203.213,PUT,app/blog,201,1976,Mozilla/5.0 (Windows NT 6.1; or-IN; rv:1.9.0.20) Gecko/2762-04-04 18:17:58.687084 Firefox/3.6.8
b06adc02-5bc6-4051-982c-dd33b731136a,2026-04-13T17:07:53.261474,216.114.70.203,DELETE,tag/categories/blog,403,71,"Mozilla/5.0 (iPad; CPU iPad OS 17_2 like Mac OS X) AppleWebKit/533.0 (KHTML, like Gecko) FxiOS/11.8u1600.0 Mobile/81G685 Safari/533.0"
6b73a51d-2a04-4c43-9d60-4d634d387b2f,2026-04-15T11:07:01.567654,122.110.120.157,PUT,category/list,403,439,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3 rv:6.0; lt-LT) AppleWebKit/531.12.6 (KHTML, like Gecko) Version/4.0.4 Safari/531.12.6"
77c3a6b3-9057-4299-80e1-4d0f0c329973,2026-04-01T01:01:57.120175,8.166.103.26,PUT,categories/wp-content,400,1285,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_6_1 rv:5.0; lzh-TW) AppleWebKit/534.8.2 (KHTML, like Gecko) Version/5.0.5 Safari/534.8.2"
48b0d6fe-28bb-4ce1-aaac-f51a3315e2b1,2026-04-04T17:35:41.622119,118.92.132.63,POST,app,403,1785,"Mozilla/5.0 (Linux; Android 12.1) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/36.0.845.0 Safari/534.2"
cb816c38-4b3f-4bcb-aef7-7ec6df056ce5,2026-04-05T12:18:02.538924,105.192.27.87,GET,posts/search/categories,200,1968,Mozilla/5.0 (Android 5.0; Mobile; rv:49.0) Gecko/49.0 Firefox/49.0
0dd1064a-17bb-4309-ab95-632cd9da14a8,2026-04-19T11:01:09.461626,88.63.180.67,POST,wp-content/explore,500,1758,Opera/9.97.(Windows NT 11.0; lv-LV) Presto/2.9.182 Version/11.00
36d0124f-8d67-4aa3-bdc4-941d3735415b,2026-04-06T17:13:49.450354,162.147.82.48,PUT,categories,401,1545,Opera/8.67.(Windows NT 5.0; iu-CA) Presto/2.9.166 Version/11.00
95cc446c-da8d-4b7b-b3d3-ba6056638912,2026-04-11T22:46:10.262587,13.240.45.11,GET,posts,500,1809,Mozilla/5.0 (Android 2.3.3; Mobile; rv:68.0) Gecko/68.0 Firefox/68.0
4172c5d4-9678-4516-a668-b6f0c73951ab,2026-04-01T23:18:08.225772,142.33.199.97,DELETE,main/posts/app,200,972,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_9_2) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/55.0.869.0 Safari/535.2"
380aa1c1-5e49-44e9-ae7e-74c5184b29be,2026-04-19T16:09:45.526697,5.92.168.134,POST,categories,500,1222,"Mozilla/5.0 (iPhone; CPU iPhone OS 4_3_5 like Mac OS X) AppleWebKit/536.0 (KHTML, like Gecko) CriOS/46.0.886.0 Mobile/84Y111 Safari/536.0"
605a0750-1993-4a0f-beac-a69de32b40fc,2026-04-01T00:51:52.378591,11.32.131.175,PUT,category,403,493,Mozilla/5.0 (Android 2.0.1; Mobile; rv:40.0) Gecko/40.0 Firefox/40.0
6a45fae7-9005-4058-a8c8-d175ad0f6fe0,2026-04-17T10:51:04.680513,58.227.200.166,POST,tag,401,1234,Mozilla/5.0 (Android 3.2; Mobile; rv:44.0) Gecko/44.0 Firefox/44.0
